CUSTNO ,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
1,35,35,0,0,1000,0,1000
2,41,49,10,707,848,10,
3,35,17,7,143,282,10,
4,55,45,13,527,584,10,
5,55,20,19,678,801,10,
6,15,30,26,34,209,10,
7,25,30,3,415,514,10,
8,20,50,5,331,410,10,
9,10,43,9,404,481,10,
10,55,60,16,400,497,10,
11,30,60,16,577,632,10,
12,20,65,12,206,325,10,
13,50,35,19,228,345,10,
14,30,25,23,690,827,10,
15,15,10,20,32,243,10,
16,30,5,8,175,300,10,
17,10,20,19,272,373,10,
18,5,30,2,733,870,10,
19,20,40,12,377,434,10,
20,15,60,17,269,378,10,
21,45,65,9,581,666,10,
22,45,20,11,214,331,10,
23,45,10,18,409,494,10,
24,55,5,29,206,325,10,
25,65,35,3,704,847,10,
26,65,20,6,817,956,10,
27,45,30,17,588,667,10,
28,35,40,16,104,255,10,
29,41,37,16,114,255,10,
30,64,42,9,190,313,10,
31,40,60,21,259,354,10,
32,31,52,27,152,275,10,
33,35,69,23,660,777,10,
34,53,52,11,45,200,10,
35,65,55,14,529,614,10,
36,63,65,8,686,813,10,
37,2,60,5,41,208,10,
38,20,20,8,606,693,10,
39,5,5,16,302,405,10,
40,60,12,31,33,224,10,
41,40,25,9,360,437,10,
42,42,7,5,396,511,10,
43,24,12,5,25,172,10,
44,23,3,7,620,705,10,
45,11,14,18,233,340,10,
46,6,38,16,29,189,10,
47,2,48,1,515,628,10,
48,8,56,27,85,250,10,
49,13,52,36,773,906,10,
50,6,68,30,501,540,10,
51,47,47,13,547,642,10,
52,49,58,10,348,453,10,
53,27,43,9,174,299,10,
54,37,31,14,414,489,10,
55,57,29,18,641,734,10,
56,63,23,2,620,739,10,
57,53,12,6,585,692,10,
58,32,12,7,421,530,10,
59,36,26,18,849,980,10,
60,21,24,28,17,229,10,
61,17,34,3,721,862,10,
62,12,24,13,290,377,10,
63,24,58,19,163,302,10,
64,27,69,10,34,191,10,
65,15,77,9,214,333,10,
66,62,77,20,49,188,10,
67,49,73,25,592,693,10,
68,67,5,25,294,401,10,
69,56,39,36,637,752,10,
70,37,47,6,162,293,10,
71,37,56,5,788,968,10,
72,57,68,15,268,367,10,
73,47,16,25,31,208,10,
74,44,17,9,308,399,10,
75,46,13,8,681,802,10,
76,49,11,18,236,345,10,
77,49,42,13,290,373,10,
78,53,43,14,817,952,10,
79,61,52,3,384,499,10,
80,57,48,23,388,465,10,
81,56,37,6,839,968,10,
82,55,54,26,411,456,10,
83,15,47,16,162,289,10,
84,14,37,11,96,249,10,
85,11,31,7,436,511,10,
86,16,22,41,376,461,10,
87,4,18,35,388,465,10,
88,28,18,26,420,447,10,
89,26,52,9,279,388,10,
90,26,35,15,755,920,10,
91,31,67,3,392,487,10,
92,15,19,1,739,866,10,
93,22,22,2,18,181,10,
94,18,24,22,811,969,10,
95,26,27,27,436,503,10,
96,25,24,20,92,231,10,
97,22,27,11,607,690,10,
98,25,21,12,612,673,10,
99,19,21,10,183,306,10,
100,20,26,9,333,432,10,
101,18,18,17,798,965,10,
