 CUSTNO ,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
1,40,50,0,0,240,0,200
2,25,85,20,125,191,10,
3,22,75,30,32,97,10,
4,22,85,10,101,146,10,
5,20,80,40,71,193,10,
6,20,85,20,40,113,10,
7,18,75,20,55,164,10,
8,15,75,20,69,118,10,
9,15,80,10,56,155,10,
10,10,35,20,51,160,10,
11,10,40,30,90,177,10,
12,8,40,40,33,152,10,
13,8,45,20,49,108,10,
14,5,35,10,62,191,10,
15,5,45,10,35,117,10,
16,2,40,20,39,161,10,
17,0,40,20,59,114,10,
18,0,45,20,60,189,10,
19,44,5,20,79,124,10,
20,42,10,40,58,115,10,
21,42,15,10,111,162,10,
22,40,5,10,52,111,10,
23,40,15,40,55,158,10,
24,38,5,30,45,164,10,
25,38,15,10,128,194,10,
26,35,5,20,54,184,10,
27,95,30,30,105,154,10,
28,95,35,20,57,172,10,
29,92,30,10,55,120,10,
30,90,35,10,52,112,10,
31,88,30,10,52,159,10,
32,88,35,20,50,110,10,
33,87,30,10,116,175,10,
34,85,25,10,51,178,10,
35,85,35,30,100,151,10,
36,67,85,20,61,185,10,
37,65,85,40,43,186,10,
38,65,82,10,113,164,10,
39,62,80,30,37,148,10,
40,60,80,10,36,191,10,
41,60,85,30,50,149,10,
42,58,75,20,48,165,10,
43,55,80,10,33,166,10,
44,55,85,20,117,168,10,
45,55,82,10,35,148,10,
46,20,82,10,37,177,10,
47,18,80,10,98,157,10,
48,2,45,10,38,109,10,
49,42,5,10,120,184,10,
50,42,12,10,79,158,10,
51,72,35,30,104,157,10,
52,55,20,19,69,126,10,
53,25,30,3,36,97,10,
54,20,50,5,57,154,10,
55,55,60,16,127,180,10,
56,30,60,16,95,214,10,
57,50,35,19,88,201,10,
58,30,25,23,82,139,10,
59,15,10,20,56,182,10,
60,10,20,19,42,125,10,
61,15,60,17,137,202,10,
62,45,65,9,55,106,10,
63,65,35,3,29,158,10,
64,65,20,6,39,108,10,
65,45,30,17,20,139,10,
66,35,40,16,11,140,10,
67,41,37,16,92,203,10,
68,64,42,9,28,141,10,
69,40,60,21,100,217,10,
70,31,52,27,9,134,10,
71,35,69,23,60,210,10,
72,65,55,14,52,107,10,
73,63,65,8,27,101,10,
74,2,60,5,65,118,10,
75,20,20,8,72,193,10,
76,5,5,16,60,117,10,
77,60,12,31,42,143,10,
78,23,3,7,52,180,10,
79,8,56,27,46,163,10,
80,6,68,30,54,153,10,
81,47,47,13,97,222,10,
82,49,58,10,80,121,10,
83,27,43,9,26,87,10,
84,37,31,14,19,87,10,
85,57,29,18,62,159,10,
86,63,23,2,76,127,10,
87,21,24,28,77,126,10,
88,12,24,13,68,141,10,
89,24,58,19,24,139,10,
90,67,5,25,105,177,10,
91,37,47,6,74,127,10,
92,49,42,13,151,212,10,
93,53,43,14,14,155,10,
94,61,52,3,69,208,10,
95,57,48,23,86,133,10,
96,56,37,6,20,84,10,
97,55,54,26,121,172,10,
98,4,18,35,112,157,10,
99,26,52,9,30,91,10,
100,26,35,15,37,146,10,
101,31,67,3,66,210,10,
